Year,SP,Nasdaq,DOW
1986,0.1900,0.0700,0.2300
1987,0.0500,-0.0500,0.0200
1988,0.1700,0.1500,0.1200
1989,0.3200,0.1900,0.2700
1990,-0.0300,-0.1800,-0.0400
1991,0.3100,0.5700,0.2000
1992,0.0800,0.1500,0.0400
1993,0.1000,0.1500,0.1400
1994,0.0100,-0.0300,0.0200
1995,0.3700,0.4000,0.3300
1996,0.2300,0.2300,0.2600
1997,0.3300,0.2200,0.2300
1998,0.2900,0.4000,0.1600
1999,0.2100,0.8600,0.2500
2000,-0.0900,-0.3900,-0.0600
2001,-0.1200,-0.2100,-0.0700
2002,-0.2200,-0.3200,-0.1700
2003,0.2900,0.5000,0.2500
2004,0.1100,0.0900,0.0300
2005,0.0500,0.0100,-0.0100
2006,0.1600,0.1000,0.1600
2007,0.0500,0.1000,0.0600
2008,-0.3700,-0.4100,-0.3400
2009,0.2600,0.4400,0.1900
2010,0.1500,0.1700,0.1100
2011,0.0200,-0.0200,0.0600
2012,0.1600,0.1600,0.0700
2013,0.3200,0.3800,0.2700
2014,0.1400,0.1300,0.0800
2015,0.0100,0.0600,-0.0200
2016,0.1200,0.0800,0.1300
2017,0.2200,0.2800,0.2500
2018,-0.0400,-0.0400,-0.0600
2019,0.3100,0.3500,0.2200
